Timestamp,Voltage,Resistance,Weight_1,Weight_2,Weight_3
2024-02-22 19:10:59.520498,3.9496205328531753,2735.40067497666,314.03016711606136,288.9435698805107,210.81001638768504
2024-02-22 19:11:00.530752,3.952245612964263,2726.9418264402857,315.4115649304213,289.99312856585607,211.74010977661547
2024-02-22 19:11:01.541057,3.9859966429639577,2619.1777127532378,333.9571417194011,304.14248240277635,224.3009953680875
2024-02-22 19:11:02.551439,3.999872066408277,2575.402204092834,342.0276624391088,310.33328466769126,229.80932486773503
2024-02-22 19:11:03.561869,4.001747123630482,2569.5098780671133,343.13932358474204,311.1875788199103,230.57002326688485
2024-02-22 19:11:04.574822,4.006997283852656,2553.0407027472334,346.2792692686637,313.60258788096394,232.72119893498774
2024-02-22 19:11:05.587914,4.028560441908017,2485.8496540706687,359.6112811725818,323.88918688030765,241.89625165532811
2024-02-22 19:11:06.601632,4.034373119296854,2467.860188590274,363.32960405727647,326.76741359585293,244.46694091300992
2024-02-22 19:11:07.614514,4.031748039185766,2475.9780400757304,361.64362900790627,325.4618623478947,243.3007017995912
2024-02-22 19:11:08.627515,4.042623371074557,2442.415575960499,368.7017568181623,330.9328399640126,248.18992587876724
2024-02-22 19:11:09.640488,4.038685750907926,2454.5466278707618,366.12377600547387,328.93290976536105,246.4020372194076
2024-02-22 19:11:10.653484,4.044310922574542,2437.2237849556445,369.81452194681157,331.7966794251436,248.96239640534526
2024-02-22 19:11:11.666441,4.557514084292124,1036.7184982188892,1234.899726692976,1075.8513112389069,942.9447570075466
2024-02-22 19:11:12.679480,4.565014313180944,1018.5853864170036,1265.8529001111876,1104.4475236216633,970.3526864145535
2024-02-22 19:11:13.692499,4.569326944792016,1008.1858023598977,1284.2059681080182,1121.4537565265823,986.6704590332218
2024-02-22 19:11:14.705481,4.571952024903104,1001.8652264983108,1295.5828796452413,1132.0145063712328,996.8104003397259
2024-02-22 19:11:15.718454,4.574577105014192,995.5519046484529,1307.1189802280712,1142.7375527389663,1007.1113789650734
2024-02-22 19:11:16.731519,4.574952116458633,994.6505929631666,1308.7801711111838,1144.2828639144275,1008.5962950962413
2024-02-22 19:11:17.744450,4.574764610736412,995.1012303347961,1307.9491610308257,1143.509784947369,1007.8534167149371
2024-02-22 19:11:18.754829,4.574577105014192,995.5519046484529,1307.1189802280712,1142.7375527389663,1007.1113789650734
2024-02-22 19:11:19.765239,4.574952116458633,994.6505929631666,1308.7801711111838,1144.2828639144275,1008.5962950962413
2024-02-22 19:11:20.775596,4.574764610736412,995.1012303347961,1307.9491610308257,1143.509784947369,1007.8534167149371
2024-02-22 19:11:21.785950,4.5762646565141765,991.4971653572202,1314.620558970754,1149.718232855448,1013.8200901132581
2024-02-22 19:11:22.796380,4.577389690847499,988.7956667912645,1319.6592961065055,1154.4105263905276,1018.3308018548238
2024-02-22 19:11:23.809399,4.579077242347484,984.7459079361331,1327.274565976164,1161.507426224492,1025.1549368689662
2024-02-22 19:11:24.822514,4.579827265236366,982.9469730893892,1330.6813459325685,1164.6843378095753,1028.2104722391443
2024-02-22 19:11:25.835641,4.578139713736381,986.9954053779617,1323.03535205586,1157.5559998599977,1021.3551038793213
2024-02-22 19:11:26.848673,4.580014770958587,982.4973314381524,1331.535191102771,1165.4807671168694,1028.9765435819213
2024-02-22 19:11:27.861886,4.580764793847469,980.6991329393511,1334.9592089807634,1168.6753300923303,1032.0496197444186
2024-02-22 19:11:28.875613,4.582452345347454,976.6553385043708,1342.7141114418241,1175.915212517755,1039.0158417317816
2024-02-22 19:11:29.888666,4.679955320902127,747.965856713344,1949.8213210562894,1760.9744596091869,1608.552124015019
2024-02-22 19:11:30.901849,4.675455183568835,758.3108007903871,1912.8205984904234,1724.3652480417597,1572.5787089669443
2024-02-22 19:11:31.914840,4.688393078402051,728.6226130902396,2022.3639497732026,1833.0787968597926,1679.5181639750192
2024-02-22 19:11:32.927847,4.688393078402051,728.6226130902396,2022.3639497732026,1833.0787968597926,1679.5181639750192
2024-02-22 19:11:33.940840,4.689893124179815,725.1911009798629,2035.7133995898246,1846.394465574728,1692.6397857515174
2024-02-22 19:11:34.953840,4.690455641346476,723.9048497984558,2040.7559217968546,1851.427981744026,1697.6012405499398
2024-02-22 19:11:35.966793,4.690643147068697,723.4761679608392,2042.4412170172811,1853.110724989892,1699.2600505545852
2024-02-22 19:11:36.979826,4.69176818140202,720.9047964874248,2052.600050931454,1863.2590273127043,1709.2656835370726
2024-02-22 19:11:37.992809,4.6915806756798,721.3332727592148,2050.9012883941145,1861.5614470140883,1707.5917697018326
2024-02-22 19:11:39.005745,4.692330698568682,719.6195731351974,2057.709910622808,1868.366729887245,1714.3026586989204
2024-02-22 19:11:40.018864,4.692518204290903,719.1912338251539,2059.417735288936,1870.0743013916626,1715.9867457598016
2024-02-22 19:11:41.031887,4.692330698568682,719.6195731351974,2057.709910622808,1868.366729887245,1714.3026586989204
2024-02-22 19:11:42.044892,4.693268227179785,717.4782188457174,2066.271837683355,1876.9297421099618,1722.7487111669366
2024-02-22 19:11:43.057872,4.693830744346446,716.1938168700655,2071.436478064385,1882.097877630659,1727.8472317939218
2024-02-22 19:11:44.070827,4.693268227179785,717.4782188457174,2066.271837683355,1876.9297421099618,1722.7487111669366
2024-02-22 19:11:45.083911,4.694205755790888,715.3377199004707,2074.8910949977067,1885.5560233973922,1731.2592049680393
2024-02-22 19:11:46.096937,4.694205755790888,715.3377199004707,2074.8910949977067,1885.5560233973922,1731.2592049680393
